start_index	end_index	word_node	word
13	17	310650	>CRJ 
18	19	310651	H-
20	23	310652	>JC 
24	27	310653	>CR 
28	30	310654	L> 
31	34	310655	HLK 
35	36	310656	B-
37	40	310657	<YT 
41	46	310658	RC<JM 
47	48	310659	W-
49	50	310660	B-
51	54	310661	DRK 
55	60	310662	XV>JM 
61	63	310663	L> 
64	67	310664	<MD 
68	69	310665	W-
70	71	310666	B-
72	76	310667	MWCB 
77	81	310668	LYJM 
82	84	310669	L> 
85	88	310670	JCB 
92	94	310671	KJ 
95	97	310672	>M 
98	99	310673	B-
100	104	310674	TWRT 
105	109	310675	JHWH 
110	115	310676	XPY+W 
116	117	310677	W-
118	119	310678	B-
120	126	310679	TWRT+W 
127	131	310680	JHGH 
132	136	310681	JWMM 
137	138	310682	W-
139	143	310683	LJLH 
147	148	310684	W-
149	152	310685	HJH 
153	154	310686	K-
155	157	310687	<Y 
158	162	310688	CTWL 
163	165	310689	<L 
166	170	310690	PLGJ 
171	174	310691	MJM 
175	178	310692	>CR 
179	184	310693	PRJ+W 
185	188	310694	JTN 
189	190	310695	B-
191	195	310696	<T+W 
196	197	310697	W-
198	203	310698	<L+HW 
204	206	310699	L> 
207	211	310700	JBWL 
212	213	310701	W-
214	216	310702	KL 
217	220	310703	>CR 
221	225	310704	J<FH 
226	231	310705	JYLJX 
235	237	310706	L> 
238	240	310707	KN 
241	242	310708	H-
243	248	310709	RC<JM 
249	251	310710	KJ 
252	254	310711	>M 
255	256	310712	K-
257	257	310713	-
258	260	310714	MY 
261	264	310715	>CR 
265	271	310716	TDPN+W 
272	275	310717	RWX 
279	281	310718	<L 
282	284	310719	KN 
285	287	310720	L> 
288	292	310721	JQMW 
293	298	310722	RC<JM 
299	300	310723	B-
301	301	310724	-
302	306	310725	MCPV 
307	308	310726	W-
309	314	310727	XV>JM 
315	316	310728	B-
317	320	310729	<DT 
321	327	310730	YDJQJM 
331	333	310731	KJ 
334	338	310732	JWD< 
339	343	310733	JHWH 
344	347	310734	DRK 
348	354	310735	YDJQJM 
355	356	310736	W-
357	360	310737	DRK 
361	366	310738	RC<JM 
367	371	310739	T>BD 
