start_index	end_index	word_node	word
13	16	325533	CJR 
17	22	325534	MZMWR 
23	24	325535	L-
25	28	325536	BNJ 
29	32	325537	QRX 
33	34	325538	L-
35	35	325539	-
36	40	325540	MNYX 
41	43	325541	<L 
44	48	325542	MXLT 
49	50	325543	L-
51	55	325544	<NWT 
56	61	325545	MFKJL 
62	63	325546	L-
64	68	325547	HJMN 
69	70	325548	H-
71	76	325549	>ZRXJ 
80	84	325550	JHWH 
85	89	325551	>LHJ 
90	97	325552	JCW<T+J 
98	101	325553	JWM 
102	107	325554	Y<QTJ 
108	109	325555	B-
110	110	325556	-
111	115	325557	LJLH 
116	121	325558	NGD+K 
125	129	325559	TBW> 
130	131	325560	L-
132	137	325561	PNJ+K 
138	144	325562	TPLT+J 
145	148	325563	HVH 
149	154	325564	>ZN+K 
155	156	325565	L-
157	162	325566	RNT+J 
166	168	325567	KJ 
169	173	325568	FB<H 
174	175	325569	B-
176	180	325570	R<WT 
181	186	325571	NPC+J 
187	188	325572	W-
189	193	325573	XJJ+ 
194	195	325574	L-
196	200	325575	C>WL 
201	206	325576	HGJ<W 
210	216	325577	NXCBTJ 
217	219	325578	<M 
220	225	325579	JWRDJ 
226	229	325580	BWR 
230	235	325581	HJJTJ 
236	237	325582	K-
238	241	325583	GBR 
242	245	325584	>JN 
246	249	325585	>JL 
253	254	325586	B-
255	255	325587	-
256	260	325588	MTJM 
261	265	325589	XPCJ 
266	269	325590	KMW 
270	275	325591	XLLJM 
276	280	325592	CKBJ 
281	284	325593	QBR 
285	288	325594	>CR 
289	291	325595	L> 
292	298	325596	ZKRT+M 
299	302	325597	<WD 
303	304	325598	W-
305	308	325599	HMH 
309	310	325600	M-
311	315	325601	JD+K 
316	321	325602	NGZRW 
325	330	325603	CT+NJ 
331	332	325604	B-
333	336	325605	BWR 
337	343	325606	TXTJWT 
344	345	325607	B-
346	352	325608	MXCKJM 
353	354	325609	B-
355	360	325610	MYLWT 
364	368	325611	<LJ+ 
369	373	325612	SMKH 
374	379	325613	XMT+K 
380	381	325614	W-
382	384	325615	KL 
385	392	325616	MCBRJ+K 
393	397	325617	<NJT 
398	401	325618	SLH 
405	410	325619	HRXQT 
411	417	325620	MJD<J+ 
418	423	325621	MMN+J 
424	429	325622	CT+NJ 
430	436	325623	TW<BWT 
437	441	325624	L+MW 
442	445	325625	KL> 
446	447	325626	W-
448	450	325627	L> 
451	454	325628	>Y> 
459	464	325629	<JN+J 
465	469	325630	D>BH 
470	473	325631	MNJ 
474	477	325632	<NJ 
478	485	325633	QR>TJ+K 
486	490	325634	JHWH 
491	492	325635	B-
493	495	325636	KL 
496	499	325637	JWM 
500	505	325638	CVXTJ 
506	511	325639	>LJ+K 
512	516	325640	KPJ+ 
521	522	325641	H-
523	524	325642	L-
525	525	325643	-
526	530	325644	MTJM 
531	535	325645	T<FH 
536	539	325646	PL> 
540	542	325647	>M 
543	548	325648	RP>JM 
549	554	325649	JQWMW 
555	561	325650	JWDW+K 
562	565	325651	SLH 
570	571	325652	H-
572	576	325653	JSPR 
577	578	325654	B-
579	579	325655	-
580	583	325656	QBR 
584	589	325657	XSD+K 
590	597	325658	>MWNT+K 
598	599	325659	B-
600	600	325660	-
601	606	325661	>BDWN 
611	612	325662	H-
613	617	325663	JWD< 
618	619	325664	B-
620	620	325665	-
621	624	325666	XCK 
625	630	325667	PL>+K 
631	632	325668	W-
633	639	325669	YDQT+K 
640	641	325670	B-
642	645	325671	>RY 
646	650	325672	NCJH 
655	656	325673	W-
657	660	325674	>NJ 
661	666	325675	>LJ+K 
667	671	325676	JHWH 
672	677	325677	CW<TJ 
678	679	325678	W-
680	681	325679	B-
682	682	325680	-
683	686	325681	BQR 
687	693	325682	TPLT+J 
694	700	325683	TQDM+K 
705	708	325684	LMH 
709	713	325685	JHWH 
714	718	325686	TZNX 
719	724	325687	NPC+J 
725	730	325688	TSTJR 
731	736	325689	PNJ+K 
737	742	325690	MMN+J 
747	750	325691	<NJ 
751	754	325692	>NJ 
755	756	325693	W-
757	760	325694	GW< 
761	762	325695	M-
763	766	325696	N<R 
767	772	325697	NF>TJ 
773	778	325698	>MJ+K 
779	784	325699	>PWNH 
789	793	325700	<LJ+ 
794	798	325701	<BRW 
799	806	325702	XRWNJ+K 
807	814	325703	B<WTJ+K 
815	823	325704	YMTWT+NJ 
828	834	325705	SBW+NJ 
835	836	325706	K-
837	837	325707	-
838	841	325708	MJM 
842	844	325709	KL 
845	846	325710	H-
847	850	325711	JWM 
851	856	325712	HQJPW 
857	861	325713	<LJ+ 
862	865	325714	JXD 
870	875	325715	HRXQT 
876	881	325716	MMN+J 
882	885	325717	>HB 
886	887	325718	W-
888	890	325719	R< 
891	897	325720	MJD<J+ 
898	902	325721	MXCK 
