start_index	end_index	word_node	word
13	14	317225	L-
15	15	317226	-
16	20	317227	MNYX 
21	26	317228	MZMWR 
27	28	317229	L-
29	32	317230	DWD 
36	40	317231	>CRJ 
41	46	317232	MFKJL 
47	49	317233	>L 
50	52	317234	DL 
53	54	317235	B-
55	58	317236	JWM 
59	62	317237	R<H 
63	70	317238	JMLV+HW 
71	75	317239	JHWH 
79	83	317240	JHWH 
84	91	317241	JCMR+HW 
92	93	317242	W-
94	100	317243	JXJ+HW 
101	102	317244	J-
103	106	317245	>CR 
107	108	317246	B-
109	109	317247	-
110	113	317248	>RY 
114	115	317249	W-
116	118	317250	>L 
119	125	317251	TTN+HW 
126	127	317252	B-
128	131	317253	NPC 
132	138	317254	>JBJ+W 
142	146	317255	JHWH 
147	154	317256	JS<DN+W 
155	157	317257	<L 
158	161	317258	<RF 
162	165	317259	DWJ 
166	168	317260	KL 
169	175	317261	MCKB+W 
176	180	317262	HPKT 
181	182	317263	B-
183	188	317264	XLJ+W 
192	195	317265	>NJ 
196	201	317266	>MRTJ 
202	206	317267	JHWH 
207	212	317268	XN+NJ 
213	217	317269	RP>H 
218	223	317270	NPC+J 
224	226	317271	KJ 
227	232	317272	XV>TJ 
233	236	317273	L+K 
240	246	317274	>WJBJ+ 
247	252	317275	J>MRW 
253	255	317276	R< 
256	259	317277	L+J 
260	263	317278	MTJ 
264	268	317279	JMWT 
269	270	317280	W-
271	274	317281	>BD 
275	279	317282	CM+W 
283	284	317283	W-
285	287	317284	>M 
288	290	317285	B> 
291	292	317286	L-
293	297	317287	R>WT 
298	301	317288	CW> 
302	306	317289	JDBR 
307	311	317290	LB+W 
312	316	317291	JQBY 
317	320	317292	>WN 
321	324	317293	L+W 
325	328	317294	JY> 
329	330	317295	L-
331	331	317296	-
332	335	317297	XWY 
336	340	317298	JDBR 
344	347	317299	JXD 
348	352	317300	<LJ+ 
353	359	317301	JTLXCW 
360	362	317302	KL 
363	368	317303	FN>J+ 
369	373	317304	<LJ+ 
374	379	317305	JXCBW 
380	383	317306	R<H 
384	387	317307	L+J 
391	394	317308	DBR 
395	400	317309	BLJ<L 
401	405	317310	JYWQ 
406	409	317311	B+W 
410	411	317312	W-
412	415	317313	>CR 
416	419	317314	CKB 
420	422	317315	L> 
423	428	317316	JWSJP 
429	430	317317	L-
431	434	317318	QWM 
439	441	317319	GM 
442	445	317320	>JC 
446	452	317321	CLWM+J 
453	456	317322	>CR 
457	462	317323	BVXTJ 
463	466	317324	B+W 
467	471	317325	>WKL 
472	477	317326	LXM+J 
478	483	317327	HGDJL 
484	488	317328	<LJ+ 
489	492	317329	<QB 
497	498	317330	W-
499	502	317331	>TH 
503	507	317332	JHWH 
508	513	317333	XN+NJ 
514	515	317334	W-
516	523	317335	HQJM+NJ 
524	525	317336	W-
526	531	317337	>CLMH 
532	536	317338	L+HM 
541	542	317339	B-
543	546	317340	Z>T 
547	552	317341	JD<TJ 
553	555	317342	KJ 
556	560	317343	XPYT 
561	564	317344	B+J 
565	567	317345	KJ 
568	570	317346	L> 
571	575	317347	JRJ< 
576	581	317348	>JB+J 
582	586	317349	<LJ+ 
591	592	317350	W-
593	596	317351	>NJ 
597	598	317352	B-
599	603	317353	TM+J 
604	608	317354	TMKT 
609	612	317355	B+J 
613	614	317356	W-
615	622	317357	TYJB+NJ 
623	624	317358	L-
625	630	317359	PNJ+K 
631	632	317360	L-
633	637	317361	<WLM 
642	646	317362	BRWK 
647	651	317363	JHWH 
652	656	317364	>LHJ 
657	662	317365	JFR>L 
663	664	317366	M-
665	666	317367	H-
667	671	317368	<WLM 
672	673	317369	W-
674	676	317370	<D 
677	678	317371	H-
679	683	317372	<WLM 
684	687	317373	>MN 
688	689	317374	W-
690	693	317375	>MN 
