start_index	end_index	word_node	word
13	18	324243	MZMWR 
19	20	324244	L-
21	24	324245	>SP 
25	30	324246	>LHJM 
31	34	324247	B>W 
35	39	324248	GWJM 
40	41	324249	B-
42	48	324250	NXLT+K 
49	53	324251	VM>W 
54	56	324252	>T 
57	61	324253	HJKL 
62	67	324254	QDC+K 
68	71	324255	FMW 
72	74	324256	>T 
75	81	324257	JRWCLM 
82	83	324258	L-
84	88	324259	<JJM 
92	96	324260	NTNW 
97	99	324261	>T 
100	104	324262	NBLT 
105	111	324263	<BDJ+K 
112	116	324264	M>KL 
117	118	324265	L-
119	122	324266	<WP 
123	124	324267	H-
125	129	324268	CMJM 
130	133	324269	BFR 
134	141	324270	XSJDJ+K 
142	143	324271	L-
144	148	324272	XJTW 
149	152	324273	>RY 
156	160	324274	CPKW 
161	165	324275	DM+M 
166	167	324276	K-
168	168	324277	-
169	172	324278	MJM 
173	179	324279	SBJBWT 
180	186	324280	JRWCLM 
187	188	324281	W-
189	192	324282	>JN 
193	197	324283	QWBR 
201	206	324284	HJJNW 
207	211	324285	XRPH 
212	213	324286	L-
214	221	324287	CKNJ+NW 
222	225	324288	L<G 
226	227	324289	W-
228	231	324290	QLS 
232	233	324291	L-
234	244	324292	SBJBWTJ+NW 
248	250	324293	<D 
251	253	324294	MH 
254	258	324295	JHWH 
259	263	324296	T>NP 
264	265	324297	L-
266	269	324298	NYX 
270	274	324299	TB<R 
275	278	324300	KMW 
279	281	324301	>C 
282	288	324302	QN>T+K 
292	295	324303	CPK 
296	301	324304	XMT+K 
302	304	324305	>L 
305	306	324306	H-
307	311	324307	GWJM 
312	315	324308	>CR 
316	318	324309	L> 
319	325	324310	JD<W+K 
326	327	324311	W-
328	330	324312	<L 
331	337	324313	MMLKWT 
338	341	324314	>CR 
342	343	324315	B-
344	348	324316	CM+K 
349	351	324317	L> 
352	356	324318	QR>W 
360	362	324319	KJ 
363	366	324320	>KL 
367	369	324321	>T 
370	374	324322	J<QB 
375	376	324323	W-
377	379	324324	>T 
380	385	324325	NW+HW 
386	390	324326	HCMW 
394	396	324327	>L 
397	401	324328	TZKR 
402	406	324329	L+NW 
407	411	324330	<WNT 
412	418	324331	R>CNJM 
419	422	324332	MHR 
423	431	324333	JQDMW+NW 
432	438	324334	RXMJ+K 
439	441	324335	KJ 
442	447	324336	DLWNW 
448	451	324337	M>D 
455	461	324338	<ZR+NW 
462	466	324339	>LHJ 
467	473	324340	JC<+NW 
474	476	324341	<L 
477	480	324342	DBR 
481	485	324343	KBWD 
486	490	324344	CM+K 
491	492	324345	W-
493	500	324346	HYJL+NW 
501	502	324347	W-
503	506	324348	KPR 
507	509	324349	<L 
510	518	324350	XV>TJ+NW 
519	523	324351	LM<N 
524	528	324352	CM+K 
533	536	324353	LMH 
537	542	324354	J>MRW 
543	544	324355	H-
545	549	324356	GWJM 
550	553	324357	>JH 
554	561	324358	>LHJ+HM 
562	566	324359	JWD< 
567	568	324360	B-
569	569	324361	-
570	574	324362	GJJM 
575	576	324363	L-
577	584	324364	<JNJ+NW 
585	589	324365	NQMT 
590	592	324366	DM 
593	599	324367	<BDJ+K 
600	601	324368	H-
602	606	324369	CPWK 
611	615	324370	TBW> 
616	617	324371	L-
618	623	324372	PNJ+K 
624	628	324373	>NQT 
629	633	324374	>SJR 
634	635	324375	K-
636	639	324376	GDL 
640	646	324377	ZRW<+K 
647	651	324378	HWTR 
652	655	324379	BNJ 
656	661	324380	TMWTH 
666	667	324381	W-
668	671	324382	HCB 
672	673	324383	L-
674	681	324384	CKNJ+NW 
682	688	324385	CB<TJM 
689	691	324386	>L 
692	697	324387	XJQ+M 
698	704	324388	XRPT+M 
705	708	324389	>CR 
709	715	324390	XRPW+K 
716	720	324391	>DNJ 
725	726	324392	W-
727	732	324393	>NXNW 
733	737	324394	<M+K 
738	739	324395	W-
740	743	324396	Y>N 
744	751	324397	MR<JT+K 
752	756	324398	NWDH 
757	760	324399	L+K 
761	762	324400	L-
763	767	324401	<WLM 
768	769	324402	L-
770	772	324403	DR 
773	774	324404	W-
775	777	324405	DR 
778	782	324406	NSPR 
783	789	324407	THLT+K 
