start_index	end_index	word_node	word
13	18	334826	MFKJL 
19	20	334827	L-
21	24	334828	DWD 
25	26	334829	B-
27	33	334830	HJWT+W 
34	35	334831	B-
36	36	334832	-
37	41	334833	M<RH 
42	46	334834	TPLH 
50	55	334835	QWL+J 
56	58	334836	>L 
59	63	334837	JHWH 
64	68	334838	>Z<Q 
69	74	334839	QWL+J 
75	77	334840	>L 
78	82	334841	JHWH 
83	88	334842	>TXNN 
92	96	334843	>CPK 
97	98	334844	L-
99	104	334845	PNJ+W 
105	110	334846	FJX+J 
111	116	334847	YRT+J 
117	118	334848	L-
119	124	334849	PNJ+W 
125	129	334850	>GJD 
133	134	334851	B-
135	140	334852	HT<VP 
141	145	334853	<LJ+ 
146	151	334854	RWX+J 
152	153	334855	W-
154	157	334856	>TH 
158	162	334857	JD<T 
163	170	334858	NTJBT+J 
171	172	334859	B-
173	176	334860	>RX 
177	179	334861	ZW 
180	184	334862	>HLK 
185	189	334863	VMNW 
190	192	334864	PX 
193	196	334865	L+J 
200	204	334866	HBJV 
205	209	334867	JMJN 
210	211	334868	W-
212	215	334869	R>H 
216	217	334870	W-
218	221	334871	>JN 
222	225	334872	L+J 
226	230	334873	MKJR 
231	234	334874	>BD 
235	239	334875	MNWS 
240	245	334876	MMN+J 
246	249	334877	>JN 
250	254	334878	DWRC 
255	256	334879	L-
257	262	334880	NPC+J 
266	271	334881	Z<QTJ 
272	277	334882	>LJ+K 
278	282	334883	JHWH 
283	288	334884	>MRTJ 
289	292	334885	>TH 
293	298	334886	MXS+J 
299	304	334887	XLQ+J 
305	306	334888	B-
307	310	334889	>RY 
311	312	334890	H-
313	317	334891	XJJM 
321	327	334892	HQCJBH 
328	330	334893	>L 
331	336	334894	RNT+J 
337	339	334895	KJ 
340	345	334896	DLWTJ 
346	349	334897	M>D 
350	357	334898	HYJL+NJ 
358	359	334899	M-
360	365	334900	RDPJ+ 
366	368	334901	KJ 
369	373	334902	>MYW 
374	379	334903	MMN+J 
383	389	334904	HWYJ>H 
390	391	334905	M-
392	396	334906	MSGR 
397	402	334907	NPC+J 
403	404	334908	L-
405	410	334909	HWDWT 
411	413	334910	>T 
414	418	334911	CM+K 
419	422	334912	B+J 
423	428	334913	JKTRW 
429	435	334914	YDJQJM 
436	438	334915	KJ 
439	443	334916	TGML 
444	448	334917	<LJ+ 
