start_index	end_index	word_node	word
13	14	315581	L-
15	18	315582	DWD 
19	20	315583	B-
21	27	315584	CNWT+W 
28	30	315585	>T 
31	36	315586	V<M+W 
37	38	315587	L-
39	42	315588	PNJ 
43	49	315589	>BJMLK 
50	51	315590	W-
52	59	315591	JGRC+HW 
60	61	315592	W-
62	65	315593	JLK 
69	74	315594	>BRKH 
75	77	315595	>T 
78	82	315596	JHWH 
83	84	315597	B-
85	87	315598	KL 
88	90	315599	<T 
91	95	315600	TMJD 
96	102	315601	THLT+W 
103	104	315602	B-
105	108	315603	P+J 
112	113	315604	B-
114	118	315605	JHWH 
119	124	315606	TTHLL 
125	130	315607	NPC+J 
131	136	315608	JCM<W 
137	142	315609	<NWJM 
143	144	315610	W-
145	150	315611	JFMXW 
154	158	315612	GDLW 
159	160	315613	L-
161	165	315614	JHWH 
166	170	315615	>T+J 
171	172	315616	W-
173	179	315617	NRWMMH 
180	184	315618	CM+W 
185	189	315619	JXDW 
193	198	315620	DRCTJ 
199	201	315621	>T 
202	206	315622	JHWH 
207	208	315623	W-
209	214	315624	<N+NJ 
215	216	315625	W-
217	218	315626	M-
219	221	315627	KL 
222	230	315628	MGWRWTJ+ 
231	238	315629	HYJL+NJ 
242	247	315630	HBJVW 
248	253	315631	>LJ+W 
254	255	315632	W-
256	260	315633	NHRW 
261	262	315634	W-
263	269	315635	PNJ+HM 
270	272	315636	>L 
273	278	315637	JXPRW 
282	284	315638	ZH 
285	288	315639	<NJ 
289	292	315640	QR> 
293	294	315641	W-
295	299	315642	JHWH 
300	303	315643	CM< 
304	305	315644	W-
306	307	315645	M-
308	310	315646	KL 
311	318	315647	YRWTJ+W 
319	326	315648	HWCJ<+W 
330	333	315649	XNH 
334	338	315650	ML>K 
339	343	315651	JHWH 
344	348	315652	SBJB 
349	350	315653	L-
351	357	315654	JR>J+W 
358	359	315655	W-
360	366	315656	JXLY+M 
370	374	315657	V<MW 
375	376	315658	W-
377	380	315659	R>W 
381	383	315660	KJ 
384	387	315661	VWB 
388	392	315662	JHWH 
393	397	315663	>CRJ 
398	399	315664	H-
400	403	315665	GBR 
404	408	315666	JXSH 
409	412	315667	B+W 
417	421	315668	JR>W 
422	424	315669	>T 
425	429	315670	JHWH 
430	436	315671	QDCJ+W 
437	439	315672	KJ 
440	443	315673	>JN 
444	449	315674	MXSWR 
450	451	315675	L-
452	458	315676	JR>J+W 
463	469	315677	KPJRJM 
470	473	315678	RCW 
474	475	315679	W-
476	480	315680	R<BW 
481	482	315681	W-
483	487	315682	DRCJ 
488	492	315683	JHWH 
493	495	315684	L> 
496	501	315685	JXSRW 
502	504	315686	KL 
505	508	315687	VWB 
513	516	315688	LKW 
517	521	315689	BNJM 
522	526	315690	CM<W 
527	530	315691	L+J 
531	535	315692	JR>T 
536	540	315693	JHWH 
541	548	315694	>LMD+KM 
553	555	315695	MJ 
556	557	315696	H-
558	561	315697	>JC 
562	563	315698	H-
564	567	315699	XPY 
568	572	315700	XJJM 
573	576	315701	>HB 
577	581	315702	JMJM 
582	583	315703	L-
584	588	315704	R>WT 
589	592	315705	VWB 
597	600	315706	NYR 
601	607	315707	LCWN+K 
608	609	315708	M-
610	612	315709	R< 
613	614	315710	W-
615	621	315711	FPTJ+K 
622	623	315712	M-
624	627	315713	DBR 
628	632	315714	MRMH 
637	640	315715	SWR 
641	642	315716	M-
643	645	315717	R< 
646	647	315718	W-
648	651	315719	<FH 
652	655	315720	VWB 
656	659	315721	BQC 
660	664	315722	CLWM 
665	666	315723	W-
667	673	315724	RDP+HW 
678	682	315725	<JNJ 
683	687	315726	JHWH 
688	690	315727	>L 
691	697	315728	YDJQJM 
698	699	315729	W-
700	706	315730	>ZNJ+W 
707	709	315731	>L 
710	716	315732	CW<T+M 
721	724	315733	PNJ 
725	729	315734	JHWH 
730	731	315735	B-
732	735	315736	<FJ 
736	738	315737	R< 
739	740	315738	L-
741	746	315739	HKRJT 
747	748	315740	M-
749	752	315741	>RY 
753	758	315742	ZKR+M 
763	767	315743	Y<QW 
768	769	315744	W-
770	774	315745	JHWH 
775	778	315746	CM< 
779	780	315747	W-
781	782	315748	M-
783	785	315749	KL 
786	792	315750	YRWT+M 
793	799	315751	HYJL+M 
804	808	315752	QRWB 
809	813	315753	JHWH 
814	815	315754	L-
816	821	315755	NCBRJ 
822	824	315756	LB 
825	826	315757	W-
827	829	315758	>T 
830	834	315759	DK>J 
835	838	315760	RWX 
839	844	315761	JWCJ< 
849	853	315762	RBWT 
854	858	315763	R<WT 
859	863	315764	YDJQ 
864	865	315765	W-
866	867	315766	M-
868	872	315767	KL+M 
873	880	315768	JYJLN+W 
881	885	315769	JHWH 
890	893	315770	CMR 
894	896	315771	KL 
897	905	315772	<YMWTJ+W 
906	909	315773	>XT 
910	911	315774	M-
912	915	315775	HNH 
916	918	315776	L> 
919	924	315777	NCBRH 
929	934	315778	TMWTT 
935	938	315779	RC< 
939	942	315780	R<H 
943	944	315781	W-
945	949	315782	FN>J 
950	954	315783	YDJQ 
955	960	315784	J>CMW 
965	969	315785	PWDH 
970	974	315786	JHWH 
975	978	315787	NPC 
979	985	315788	<BDJ+W 
986	987	315789	W-
988	990	315790	L> 
991	996	315791	J>CMW 
997	999	315792	KL 
1000	1001	315793	H-
1002	1006	315794	XSJM 
1007	1010	315795	B+W 
