start_index	end_index	word_node	word
13	14	318422	L-
15	15	318423	-
16	20	318424	MNYX 
21	22	318425	L-
23	26	318426	BNJ 
27	30	318427	QRX 
31	36	318428	MZMWR 
40	44	318429	CM<W 
45	48	318430	Z>T 
49	51	318431	KL 
52	53	318432	H-
54	58	318433	<MJM 
59	65	318434	H>ZJNW 
66	68	318435	KL 
69	73	318436	JCBJ 
74	77	318437	XLD 
81	83	318438	GM 
84	87	318439	BNJ 
88	91	318440	>DM 
92	94	318441	GM 
95	98	318442	BNJ 
99	102	318443	>JC 
103	106	318444	JXD 
107	111	318445	<CJR 
112	113	318446	W-
114	119	318447	>BJWN 
123	126	318448	P+J 
127	131	318449	JDBR 
132	137	318450	XKMWT 
138	139	318451	W-
140	144	318452	HGWT 
145	149	318453	LB+J 
150	156	318454	TBWNWT 
160	163	318455	>VH 
164	165	318456	L-
166	169	318457	MCL 
170	175	318458	>ZN+J 
176	180	318459	>PTX 
181	182	318460	B-
183	187	318461	KNWR 
188	194	318462	XJDT+J 
198	201	318463	LMH 
202	206	318464	>JR> 
207	208	318465	B-
209	212	318466	JMJ 
213	215	318467	R< 
216	219	318468	<WN 
220	225	318469	<QBJ+ 
226	233	318470	JSWB+NJ 
237	238	318471	H-
239	244	318472	BVXJM 
245	247	318473	<L 
248	253	318474	XJL+M 
254	255	318475	W-
256	257	318476	B-
258	260	318477	RB 
261	266	318478	<CR+M 
267	273	318479	JTHLLW 
277	279	318480	>X 
280	282	318481	L> 
283	286	318482	PDH 
287	291	318483	JPDH 
292	295	318484	>JC 
296	298	318485	L> 
299	302	318486	JTN 
303	304	318487	L-
305	310	318488	>LHJM 
311	316	318489	KPR+W 
320	321	318490	W-
322	325	318491	JQR 
326	331	318492	PDJWN 
332	337	318493	NPC+M 
338	339	318494	W-
340	343	318495	XDL 
344	345	318496	L-
346	350	318497	<WLM 
355	356	318498	W-
357	360	318499	JXJ 
361	364	318500	<WD 
365	366	318501	L-
367	370	318502	NYX 
371	373	318503	L> 
374	378	318504	JR>H 
379	380	318505	H-
381	384	318506	CXT 
389	391	318507	KJ 
392	396	318508	JR>H 
397	402	318509	XKMJM 
403	408	318510	JMWTW 
409	412	318511	JXD 
413	417	318512	KSJL 
418	419	318513	W-
420	423	318514	B<R 
424	429	318515	J>BDW 
430	431	318516	W-
432	436	318517	<ZBW 
437	438	318518	L-
439	444	318519	>XRJM 
445	450	318520	XJL+M 
455	460	318521	QRB+M 
461	467	318522	BTJ+MW 
468	469	318523	L-
470	474	318524	<WLM 
475	482	318525	MCKNT+M 
483	484	318526	L-
485	487	318527	DR 
488	489	318528	W-
490	492	318529	DR 
493	497	318530	QR>W 
498	499	318531	B-
500	506	318532	CMWT+M 
507	510	318533	<LJ 
511	516	318534	>DMWT 
521	522	318535	W-
523	526	318536	>DM 
527	528	318537	B-
529	532	318538	JQR 
533	535	318539	BL 
536	540	318540	JLJN 
541	545	318541	NMCL 
546	547	318542	K-
548	548	318543	-
549	554	318544	BHMWT 
555	559	318545	NDMW 
564	566	318546	ZH 
567	572	318547	DRK+M 
573	576	318548	KSL 
577	581	318549	L+MW 
582	583	318550	W-
584	591	318551	>XRJ+HM 
592	593	318552	B-
594	599	318553	PJ+HM 
600	604	318554	JRYW 
605	608	318555	SLH 
613	614	318556	K-
615	615	318557	-
616	619	318558	Y>N 
620	621	318559	L-
622	626	318560	C>WL 
627	630	318561	CTW 
631	634	318562	MWT 
635	640	318563	JR<+M 
641	642	318564	W-
643	647	318565	JRDW 
648	651	318566	B+M 
652	657	318567	JCRJM 
658	659	318568	L-
660	660	318569	-
661	664	318570	BQR 
665	666	318571	W-
667	672	318572	YJR+M 
673	674	318573	L-
675	679	318574	BLWT 
680	684	318575	C>WL 
685	686	318576	M-
687	690	318577	ZBL 
691	694	318578	L+W 
699	701	318579	>K 
702	707	318580	>LHJM 
708	712	318581	JPDH 
713	718	318582	NPC+J 
719	720	318583	M-
721	723	318584	JD 
724	728	318585	C>WL 
729	731	318586	KJ 
732	738	318587	JQX+NJ 
739	742	318588	SLH 
747	749	318589	>L 
750	754	318590	TJR> 
755	757	318591	KJ 
758	762	318592	J<CR 
763	766	318593	>JC 
767	769	318594	KJ 
770	774	318595	JRBH 
775	779	318596	KBWD 
780	785	318597	BJT+W 
790	792	318598	KJ 
793	795	318599	L> 
796	797	318600	B-
798	803	318601	MWT+W 
804	807	318602	JQX 
808	809	318603	H-
810	812	318604	KL 
813	815	318605	L> 
816	819	318606	JRD 
820	826	318607	>XRJ+W 
827	833	318608	KBWD+W 
838	840	318609	KJ 
841	846	318610	NPC+W 
847	848	318611	B-
849	854	318612	XJJ+W 
855	859	318613	JBRK 
860	861	318614	W-
862	867	318615	JWD+K 
868	870	318616	KJ 
871	876	318617	TJVJB 
877	880	318618	L+K 
885	889	318619	TBW> 
890	892	318620	<D 
893	896	318621	DWR 
897	904	318622	>BWTJ+W 
905	907	318623	<D 
908	911	318624	NYX 
912	914	318625	L> 
915	919	318626	JR>W 
920	923	318627	>WR 
928	931	318628	>DM 
932	933	318629	B-
934	937	318630	JQR 
938	939	318631	W-
940	942	318632	L> 
943	947	318633	JBJN 
948	952	318634	NMCL 
953	954	318635	K-
955	955	318636	-
956	961	318637	BHMWT 
962	966	318638	NDMW 
