start_index	end_index	word_node	word
13	16	332655	CJR 
17	18	332656	H-
19	24	332657	M<LWT 
25	27	332658	>L 
28	32	332659	JHWH 
33	34	332660	B-
35	35	332661	-
36	40	332662	YRTH 
41	44	332663	L+J 
45	50	332664	QR>TJ 
51	52	332665	W-
53	59	332666	J<N+NJ 
63	67	332667	JHWH 
68	73	332668	HYJLH 
74	79	332669	NPC+J 
80	81	332670	M-
82	85	332671	FPT 
86	89	332672	CQR 
90	91	332673	M-
92	96	332674	LCWN 
97	101	332675	RMJH 
105	107	332676	MH 
108	111	332677	JTN 
112	115	332678	L+K 
116	117	332679	W-
118	120	332680	MH 
121	125	332681	JSJP 
126	129	332682	L+K 
130	134	332683	LCWN 
135	139	332684	RMJH 
143	146	332685	XYJ 
147	151	332686	GBWR 
152	158	332687	CNWNJM 
159	161	332688	<M 
162	166	332689	GXLJ 
167	172	332690	RTMJM 
176	180	332691	>WJH 
181	184	332692	L+J 
185	187	332693	KJ 
188	192	332694	GRTJ 
193	196	332695	MCK 
197	202	332696	CKNTJ 
203	205	332697	<M 
206	210	332698	>HLJ 
211	214	332699	QDR 
218	221	332700	RBT 
222	226	332701	CKNH 
227	230	332702	L+H 
231	236	332703	NPC+J 
237	239	332704	<M 
240	244	332705	FWN> 
245	249	332706	CLWM 
253	256	332707	>NJ 
257	261	332708	CLWM 
262	263	332709	W-
264	266	332710	KJ 
267	271	332711	>DBR 
272	275	332712	HMH 
276	277	332713	L-
278	278	332714	-
279	284	332715	MLXMH 
