start_index	end_index	word_node	word
13	16	326966	LKW 
17	22	326967	NRNNH 
23	24	326968	L-
25	29	326969	JHWH 
30	35	326970	NRJ<H 
36	37	326971	L-
38	41	326972	YWR 
42	48	326973	JC<+NW 
52	57	326974	NQDMH 
58	63	326975	PNJ+W 
64	65	326976	B-
66	70	326977	TWDH 
71	72	326978	B-
73	78	326979	ZMRWT 
79	83	326980	NRJ< 
84	87	326981	L+W 
91	93	326982	KJ 
94	96	326983	>L 
97	101	326984	GDWL 
102	106	326985	JHWH 
107	108	326986	W-
109	112	326987	MLK 
113	117	326988	GDWL 
118	120	326989	<L 
121	123	326990	KL 
124	129	326991	>LHJM 
133	136	326992	>CR 
137	138	326993	B-
139	143	326994	JD+W 
144	149	326995	MXQRJ 
150	153	326996	>RY 
154	155	326997	W-
156	162	326998	TW<PWT 
163	167	326999	HRJM 
168	171	327000	L+W 
175	178	327001	>CR 
179	182	327002	L+W 
183	184	327003	H-
185	187	327004	JM 
188	189	327005	W-
190	193	327006	HW> 
194	199	327007	<F+HW 
200	201	327008	W-
202	206	327009	JBCT 
207	212	327010	JDJ+W 
213	217	327011	JYRW 
221	224	327012	B>W 
225	231	327013	NCTXWH 
232	233	327014	W-
234	239	327015	NKR<H 
240	245	327016	NBRKH 
246	247	327017	L-
248	251	327018	PNJ 
252	256	327019	JHWH 
257	262	327020	<F+NW 
266	268	327021	KJ 
269	272	327022	HW> 
273	280	327023	>LHJ+NW 
281	282	327024	W-
283	288	327025	>NXNW 
289	291	327026	<M 
292	299	327027	MR<JT+W 
300	301	327028	W-
302	305	327029	Y>N 
306	310	327030	JD+W 
311	312	327031	H-
313	316	327032	JWM 
317	319	327033	>M 
320	321	327034	B-
322	326	327035	QL+W 
327	332	327036	TCM<W 
336	338	327037	>L 
339	343	327038	TQCW 
344	350	327039	LBB+KM 
351	352	327040	K-
353	358	327041	MRJBH 
359	360	327042	K-
361	364	327043	JWM 
365	368	327044	MSH 
369	370	327045	B-
371	371	327046	-
372	376	327047	MDBR 
380	383	327048	>CR 
384	390	327049	NSW+NJ 
391	399	327050	>BWTJ+KM 
400	407	327051	BXNW+NJ 
408	410	327052	GM 
411	414	327053	R>W 
415	420	327054	P<L+J 
425	431	327055	>RB<JM 
432	435	327056	CNH 
436	440	327057	>QWV 
441	442	327058	B-
443	446	327059	DWR 
447	448	327060	W-
449	452	327061	>MR 
453	455	327062	<M 
456	459	327063	T<J 
460	463	327064	LBB 
464	466	327065	HM 
467	468	327066	W-
469	471	327067	HM 
472	474	327068	L> 
475	479	327069	JD<W 
480	485	327070	DRKJ+ 
490	493	327071	>CR 
494	500	327072	NCB<TJ 
501	502	327073	B-
503	507	327074	>P+J 
508	510	327075	>M 
511	516	327076	JB>WN 
517	519	327077	>L 
520	527	327078	MNWXT+J 
