start_index	end_index	word_node	word
13	14	334346	L-
15	15	334347	-
16	20	334348	MNYX 
21	22	334349	L-
23	26	334350	DWD 
27	32	334351	MZMWR 
33	37	334352	JHWH 
38	45	334353	XQRT+NJ 
46	47	334354	W-
48	51	334355	TD< 
55	58	334356	>TH 
59	63	334357	JD<T 
64	69	334358	CBT+J 
70	71	334359	W-
72	77	334360	QWM+J 
78	82	334361	BNTH 
83	84	334362	L-
85	89	334363	R<+J 
90	91	334364	M-
92	96	334365	RXWQ 
100	105	334366	>RX+J 
106	107	334367	W-
108	113	334368	RB<+J 
114	118	334369	ZRJT 
119	120	334370	W-
121	123	334371	KL 
124	129	334372	DRKJ+ 
130	136	334373	HSKNTH 
140	142	334374	KJ 
143	146	334375	>JN 
147	150	334376	MLH 
151	152	334377	B-
153	159	334378	LCWN+J 
160	162	334379	HN 
163	167	334380	JHWH 
168	172	334381	JD<T 
173	177	334382	KL+H 
181	185	334383	>XWR 
186	187	334384	W-
188	191	334385	QDM 
192	198	334386	YRT+NJ 
199	200	334387	W-
201	204	334388	TCT 
205	209	334389	<LJ+ 
210	215	334390	KP+KH 
219	224	334391	PL>JH 
225	228	334392	D<T 
229	234	334393	MMN+J 
235	240	334394	NFGBH 
241	243	334395	L> 
244	248	334396	>WKL 
249	252	334397	L+H 
256	259	334398	>NH 
260	263	334399	>LK 
264	265	334400	M-
266	271	334401	RWX+K 
272	273	334402	W-
274	277	334403	>NH 
278	279	334404	M-
280	285	334405	PNJ+K 
286	290	334406	>BRX 
294	296	334407	>M 
297	300	334408	>SQ 
301	305	334409	CMJM 
306	308	334410	CM 
309	312	334411	>TH 
313	314	334412	W-
315	320	334413	>YJ<H 
321	325	334414	C>WL 
326	330	334415	HN+K 
334	337	334416	>F> 
338	342	334417	KNPJ 
343	346	334418	CXR 
347	352	334419	>CKNH 
353	354	334420	B-
355	360	334421	>XRJT 
361	363	334422	JM 
368	370	334423	GM 
371	373	334424	CM 
374	378	334425	JD+K 
379	385	334426	TNX+NJ 
386	387	334427	W-
388	395	334428	T>XZ+NJ 
396	402	334429	JMJN+K 
407	408	334430	W-
409	412	334431	>MR 
413	415	334432	>K 
416	419	334433	XCK 
420	427	334434	JCWP+NJ 
428	429	334435	W-
430	434	334436	LJLH 
435	438	334437	>WR 
439	445	334438	B<D+NJ 
450	452	334439	GM 
453	456	334440	XCK 
457	459	334441	L> 
460	465	334442	JXCJK 
466	470	334443	MM+K 
471	472	334444	W-
473	477	334445	LJLH 
478	479	334446	K-
480	480	334447	-
481	484	334448	JWM 
485	489	334449	J>JR 
490	491	334450	K-
492	492	334451	-
493	498	334452	XCJKH 
499	500	334453	K-
501	501	334454	-
502	506	334455	>WRH 
511	513	334456	KJ 
514	517	334457	>TH 
518	522	334458	QNJT 
523	529	334459	KLJTJ+ 
530	536	334460	TSK+NJ 
537	538	334461	B-
539	542	334462	BVN 
543	547	334463	>M+J 
552	557	334464	>WD+K 
558	560	334465	<L 
561	563	334466	KJ 
564	570	334467	NWR>WT 
571	577	334468	NPLJTJ 
578	584	334469	NPL>JM 
585	591	334470	M<FJ+K 
592	593	334471	W-
594	599	334472	NPC+J 
600	604	334473	JD<T 
605	608	334474	M>D 
613	615	334475	L> 
616	620	334476	NKXD 
621	626	334477	<YM+J 
627	631	334478	MM+K 
632	635	334479	>CR 
636	641	334480	<FJTJ 
642	643	334481	B-
644	644	334482	-
645	648	334483	STR 
649	654	334484	RQMTJ 
655	656	334485	B-
657	663	334486	TXTJWT 
664	667	334487	>RY 
672	677	334488	GLM+J 
678	681	334489	R>W 
682	688	334490	<JNJ+K 
689	690	334491	W-
691	693	334492	<L 
694	699	334493	SPR+K 
700	704	334494	KL+M 
705	710	334495	JKTBW 
711	715	334496	JMJM 
716	720	334497	JYRW 
721	722	334498	W-
723	726	334499	L+> 
727	730	334500	>XD 
731	735	334501	B+HM 
740	741	334502	W-
742	745	334503	L+J 
746	748	334504	MH 
749	753	334505	JQRW 
754	759	334506	R<J+K 
760	762	334507	>L 
763	765	334508	MH 
766	770	334509	<YMW 
771	778	334510	R>CJ+HM 
783	789	334511	>SPR+M 
790	791	334512	M-
792	795	334513	XWL 
796	801	334514	JRBWN 
802	808	334515	HQJYTJ 
809	810	334516	W-
811	816	334517	<WD+J 
817	821	334518	<M+K 
826	828	334519	>M 
829	833	334520	TQVL 
834	838	334521	>LWH 
839	842	334522	RC< 
843	844	334523	W-
845	849	334524	>NCJ 
850	854	334525	DMJM 
855	859	334526	SWRW 
860	864	334527	MN+J 
869	872	334528	>CR 
873	879	334529	J>MR+K 
880	881	334530	L-
882	886	334531	MZMH 
887	890	334532	NF> 
891	892	334533	L-
893	893	334534	-
894	897	334535	CW> 
898	903	334536	<RJ+K 
908	909	334537	H-
910	913	334538	LW> 
914	921	334539	MFN>J+K 
922	926	334540	JHWH 
927	931	334541	>FN> 
932	933	334542	W-
934	935	334543	B-
936	944	334544	TQWMMJ+K 
945	951	334545	>TQWVV 
956	961	334546	TKLJT 
962	966	334547	FN>H 
967	974	334548	FN>TJ+M 
975	976	334549	L-
977	983	334550	>WJBJM 
984	987	334551	HJW 
988	991	334552	L+J 
996	1002	334553	XQR+NJ 
1003	1005	334554	>L 
1006	1007	334555	W-
1008	1010	334556	D< 
1011	1016	334557	LBB+J 
1017	1023	334558	BXN+NJ 
1024	1025	334559	W-
1026	1028	334560	D< 
1029	1035	334561	FR<PJ+ 
1040	1041	334562	W-
1042	1045	334563	R>H 
1046	1048	334564	>M 
1049	1052	334565	DRK 
1053	1056	334566	<YB 
1057	1060	334567	B+J 
1061	1062	334568	W-
1063	1068	334569	NX+NJ 
1069	1070	334570	B-
1071	1074	334571	DRK 
1075	1079	334572	<WLM 
