start_index	end_index	word_node	word
13	16	333131	CJR 
17	18	333132	H-
19	24	333133	M<LWT 
25	26	333134	L-
27	31	333135	CLMH 
32	34	333136	>M 
35	39	333137	JHWH 
40	42	333138	L> 
43	47	333139	JBNH 
48	51	333140	BJT 
52	55	333141	CW> 
56	60	333142	<MLW 
61	67	333143	BWNJ+W 
68	71	333144	B+W 
72	74	333145	>M 
75	79	333146	JHWH 
80	82	333147	L> 
83	87	333148	JCMR 
88	91	333149	<JR 
92	95	333150	CW> 
96	99	333151	CQD 
100	104	333152	CWMR 
108	111	333153	CW> 
112	116	333154	L+KM 
117	123	333155	MCKJMJ 
124	127	333156	QWM 
128	133	333157	M>XRJ 
134	137	333158	CBT 
138	142	333159	>KLJ 
143	146	333160	LXM 
147	148	333161	H-
149	154	333162	<YBJM 
155	157	333163	KN 
158	161	333164	JTN 
162	163	333165	L-
164	170	333166	JDJD+W 
171	174	333167	CN> 
178	181	333168	HNH 
182	186	333169	NXLT 
187	191	333170	JHWH 
192	196	333171	BNJM 
197	200	333172	FKR 
201	204	333173	PRJ 
205	206	333174	H-
207	210	333175	BVN 
214	215	333176	K-
216	220	333177	XYJM 
221	222	333178	B-
223	225	333179	JD 
226	230	333180	GBWR 
231	233	333181	KN 
234	237	333182	BNJ 
238	239	333183	H-
240	246	333184	N<WRJM 
250	254	333185	>CRJ 
255	256	333186	H-
257	260	333187	GBR 
261	264	333188	>CR 
265	268	333189	ML> 
269	271	333190	>T 
272	278	333191	>CPT+W 
279	283	333192	M+HM 
284	286	333193	L> 
287	291	333194	JBCW 
292	294	333195	KJ 
295	300	333196	JDBRW 
301	303	333197	>T 
304	310	333198	>WJBJM 
311	312	333199	B-
313	313	333200	-
314	317	333201	C<R 
