start_index	end_index	word_node	word
13	16	333202	CJR 
17	18	333203	H-
19	24	333204	M<LWT 
25	29	333205	>CRJ 
30	32	333206	KL 
33	36	333207	JR> 
37	41	333208	JHWH 
42	43	333209	H-
44	47	333210	HLK 
48	49	333211	B-
50	56	333212	DRKJ+W 
60	64	333213	JGJ< 
65	70	333214	KPJ+K 
71	73	333215	KJ 
74	78	333216	T>KL 
79	85	333217	>CRJ+K 
86	87	333218	W-
88	91	333219	VWB 
92	95	333220	L+K 
99	104	333221	>CT+K 
105	106	333222	K-
107	110	333223	GPN 
111	115	333224	PRJH 
116	117	333225	B-
118	123	333226	JRKTJ 
124	129	333227	BJT+K 
130	135	333228	BNJ+K 
136	137	333229	K-
138	142	333230	CTLJ 
143	148	333231	ZJTJM 
149	153	333232	SBJB 
154	155	333233	L-
156	162	333234	CLXN+K 
166	169	333235	HNH 
170	172	333236	KJ 
173	175	333237	KN 
176	180	333238	JBRK 
181	184	333239	GBR 
185	188	333240	JR> 
189	193	333241	JHWH 
197	203	333242	JBRK+K 
204	208	333243	JHWH 
209	210	333244	M-
211	215	333245	YJWN 
216	217	333246	W-
218	221	333247	R>H 
222	223	333248	B-
224	227	333249	VWB 
228	234	333250	JRWCLM 
235	237	333251	KL 
238	241	333252	JMJ 
242	247	333253	XJJ+K 
251	252	333254	W-
253	256	333255	R>H 
257	261	333256	BNJM 
262	263	333257	L-
264	269	333258	BNJ+K 
270	274	333259	CLWM 
275	277	333260	<L 
278	283	333261	JFR>L 
