start_index	end_index	word_node	word
13	16	333064	CJR 
17	18	333065	H-
19	24	333066	M<LWT 
25	26	333067	B-
27	30	333068	CWB 
31	35	333069	JHWH 
36	38	333070	>T 
39	43	333071	CJBT 
44	48	333072	YJWN 
49	54	333073	HJJNW 
55	56	333074	K-
57	62	333075	XLMJM 
66	68	333076	>Z 
69	73	333077	JML> 
74	78	333078	FXWQ 
79	84	333079	PJ+NW 
85	86	333080	W-
87	94	333081	LCWN+NW 
95	98	333082	RNH 
99	101	333083	>Z 
102	107	333084	J>MRW 
108	109	333085	B-
110	110	333086	-
111	115	333087	GWJM 
116	121	333088	HGDJL 
122	126	333089	JHWH 
127	128	333090	L-
129	133	333091	<FWT 
134	136	333092	<M 
137	140	333093	>LH 
144	149	333094	HGDJL 
150	154	333095	JHWH 
155	156	333096	L-
157	161	333097	<FWT 
162	167	333098	<M+NW 
168	173	333099	HJJNW 
174	179	333100	FMXJM 
183	187	333101	CWBH 
188	192	333102	JHWH 
193	195	333103	>T 
196	203	333104	CBWT+NW 
204	205	333105	K-
206	212	333106	>PJQJM 
213	214	333107	B-
215	215	333108	-
216	219	333109	NGB 
223	224	333110	H-
225	230	333111	ZR<JM 
231	232	333112	B-
233	237	333113	DM<H 
238	239	333114	B-
240	243	333115	RNH 
244	249	333116	JQYRW 
253	257	333117	HLWK 
258	261	333118	JLK 
262	263	333119	W-
264	267	333120	BKH 
268	271	333121	NF> 
272	275	333122	MCK 
276	277	333123	H-
278	281	333124	ZR< 
282	284	333125	B> 
285	289	333126	JBW> 
290	291	333127	B-
292	295	333128	RNH 
296	299	333129	NF> 
300	307	333130	>LMTJ+W 
