start_index	end_index	word_node	word
13	14	320373	L-
15	15	320374	-
16	20	320375	MNYX 
21	23	320376	<L 
24	29	320377	NGJNT 
30	31	320378	L-
32	35	320379	DWD 
39	43	320380	CM<H 
44	49	320381	>LHJM 
50	55	320382	RNT+J 
56	62	320383	HQCJBH 
63	69	320384	TPLT+J 
73	74	320385	M-
75	78	320386	QYH 
79	80	320387	H-
81	84	320388	>RY 
85	90	320389	>LJ+K 
91	95	320390	>QR> 
96	97	320391	B-
98	101	320392	<VP 
102	106	320393	LB+J 
107	108	320394	B-
109	112	320395	YWR 
113	117	320396	JRWM 
118	123	320397	MMN+J 
124	130	320398	TNX+NJ 
134	136	320399	KJ 
137	141	320400	HJJT 
142	146	320401	MXSH 
147	150	320402	L+J 
151	155	320403	MGDL 
156	158	320404	<Z 
159	160	320405	M-
161	164	320406	PNJ 
165	169	320407	>WJB 
173	178	320408	>GWRH 
179	180	320409	B-
181	186	320410	>HL+K 
187	193	320411	<WLMJM 
194	198	320412	>XSH 
199	200	320413	B-
201	204	320414	STR 
205	211	320415	KNPJ+K 
212	215	320416	SLH 
219	221	320417	KJ 
222	225	320418	>TH 
226	231	320419	>LHJM 
232	236	320420	CM<T 
237	238	320421	L-
239	244	320422	NDRJ+ 
245	248	320423	NTT 
249	253	320424	JRCT 
254	258	320425	JR>J 
259	263	320426	CM+K 
267	271	320427	JMJM 
272	274	320428	<L 
275	278	320429	JMJ 
279	282	320430	MLK 
283	288	320431	TWSJP 
289	296	320432	CNWTJ+W 
297	300	320433	KMW 
301	303	320434	DR 
304	305	320435	W-
306	308	320436	DR 
312	315	320437	JCB 
316	320	320438	<WLM 
321	322	320439	L-
323	326	320440	PNJ 
327	332	320441	>LHJM 
333	336	320442	XSD 
337	338	320443	W-
339	342	320444	>MT 
343	345	320445	MN 
346	353	320446	JNYR+HW 
357	359	320447	KN 
360	365	320448	>ZMRH 
366	370	320449	CM+K 
371	372	320450	L-
373	375	320451	<D 
376	377	320452	L-
378	383	320453	CLM+J 
384	389	320454	NDRJ+ 
390	393	320455	JWM 
394	397	320456	JWM 
