start_index	end_index	word_node	word
13	19	317543	CPV+NJ 
20	25	317544	>LHJM 
26	27	317545	W-
28	32	317546	RJBH 
33	38	317547	RJB+J 
39	40	317548	M-
41	44	317549	GWJ 
45	47	317550	L> 
48	52	317551	XSJD 
53	54	317552	M-
55	58	317553	>JC 
59	63	317554	MRMH 
64	65	317555	W-
66	70	317556	<WLH 
71	78	317557	TPLV+NJ 
82	84	317558	KJ 
85	88	317559	>TH 
89	93	317560	>LHJ 
94	100	317561	M<WZ+J 
101	104	317562	LMH 
105	112	317563	ZNXT+NJ 
113	116	317564	LMH 
117	120	317565	QDR 
121	126	317566	>THLK 
127	128	317567	B-
129	132	317568	LXY 
133	137	317569	>WJB 
141	144	317570	CLX 
145	150	317571	>WR+K 
151	152	317572	W-
153	158	317573	>MT+K 
159	162	317574	HMH 
163	170	317575	JNXW+NJ 
171	179	317576	JBJ>W+NJ 
180	182	317577	>L 
183	185	317578	HR 
186	191	317579	QDC+K 
192	193	317580	W-
194	196	317581	>L 
197	206	317582	MCKNWTJ+K 
210	211	317583	W-
212	217	317584	>BW>H 
218	220	317585	>L 
221	225	317586	MZBX 
226	231	317587	>LHJM 
232	234	317588	>L 
235	237	317589	>L 
238	242	317590	FMXT 
243	248	317591	GJL+J 
249	250	317592	W-
251	256	317593	>WD+K 
257	258	317594	B-
259	263	317595	KNWR 
264	269	317596	>LHJM 
270	275	317597	>LHJ+ 
279	281	317598	MH 
282	289	317599	TCTWXXJ 
290	295	317600	NPC+J 
296	297	317601	W-
298	300	317602	MH 
301	305	317603	THMJ 
306	310	317604	<LJ+ 
311	317	317605	HWXJLJ 
318	319	317606	L-
320	325	317607	>LHJM 
326	328	317608	KJ 
329	332	317609	<WD 
333	339	317610	>WDN+W 
340	345	317611	JCW<T 
346	350	317612	PNJ+ 
351	352	317613	W-
353	358	317614	>LHJ+ 
